Year, Wareki, Year (Wareki), Examinees (JPN), Av. score (JPN), Examinees (Math IA), Av. score (Math IA), Examinees (Math IIB), Av. score (Math IIB), Examinees (Phys), Av. score (Phys), Examinees (Chem), Av. score (Chem), Examinees (Bio), Av. score (Bio), Examinees (Geo), Av. score (Geo), Examinees (EN/Reading), Av. score (EN/Reading), Examinees (EN/Listening), Av. score (EN/Listening)
2006, Heisei, 18, 482808, 62.76, 356035, 62.36, 317357, 57.66, 139620, 73.42, 197974, 64.13, 177901, 69.60, 26111, 59.29, 499630, 63.76, 492555, 72.50
2007, Heisei, 19, 487424, 54.97, 353545, 54.06, 316968, 48.94, 141274, 64.42, 200001, 61.35, 180010, 67.04, 27561, 62.42, 503823, 65.54, 497530, 64.94	
2008, Heisei, 20, 481315, 60.82, 350198, 66.31, 317103, 51.01, 142233, 64.55, 199951, 64.21, 176766, 57.64, 26841, 59.68, 497101, 62.63, 490853, 58.90
2009, Heisei, 21, 484871, 57.73, 354609, 63.96, 319045, 50.86, 143646, 63.55, 200411, 69.54, 176043, 55.85, 25921, 51.85, 500297, 57.51, 494342, 48.06	
2010, Heisei, 22, 497431, 53.81, 368289, 48.96, 331215, 57.12, 147319, 54.01, 208168, 53.79, 184632, 69.70, 24406, 66.76, 512451, 59.07, 506898, 58.78
2011, Heisei, 23, 505214, 55.64, 377714, 65.95, 340620, 52.46, 152627, 64.08, 213757, 56.57, 190693, 63.36, 25231, 64.30, 519538, 61.39, 513817, 50.34	
2012, Heisei, 24, 502525, 58.97, 384818, 69.97, 349438, 51.16, 152853, 68.03, 223669, 65.13, 189214, 64.00, 18347, 69.48, 519867, 62.07, 514748, 49.10
2013, Heisei, 25, 516153, 50.52, 398447, 51.20, 359486, 55.64, 159644, 62.70, 231945, 63.67, 195815, 61.31, 17853, 68.68, 535835, 59.57, 529440, 62.90
2014, Heisei, 26, 503587, 49.33, 391273, 62.08, 355423, 53.94, 160823, 61.64, 233632, 69.42, 188400, 53.25, 17668, 50.22, 525217, 59.43, 519172, 66.32
2015, Heisei, 27, 501415, 59.61, 338406, 61.27, 301184, 39.31, 129193, 64.31, 175296, 62.50, 68336, 54.99, 1992, 40.91, 523354, 58.08, 516429, 70.78 
2016, Heisei, 28, 507791, 64.69, 392479, 55.27, 353423, 47.92, 155739, 61.70, 211676, 54.48, 77389, 63.62, 2126, 38.64, 529688, 56.21, 522950, 61.62
2017, Heisei, 29, 519129, 53.48, 394557, 61.12, 353836, 52.07, 156719, 62.88, 209400, 51.94, 74676, 68.97, 1660, 53.77, 540029, 61.86, 532627, 56.22 
2018, Heisei, 30, 524724, 52.34, 396479, 61.91, 353423, 51.07, 157196, 62.42, 204543, 60.57, 71567, 61.36, 2011, 48.58, 546712, 61.87, 540388, 45.34
2019, Heisei, 31, 516858, 60.77, 392486, 59.68, 349405, 53.21, 156568, 56.94, 201332, 54.67, 67614, 62.89, 1936, 46.34, 537663, 61.65, 531245, 62.84	 
2020, Reiwa, 2, 498200, 59.66, 382151, 51.88, 339925, 49.03, 153140, 60.68, 193476, 54.79, 64623, 57.56, 1684, 39.51, 518401, 58.15, 512007, 57.56
2021, Reiwa, 3, 457305, 58.75, 356493, 57.68, 319697, 59.93, 146041, 62.36, 182359, 57.59, 57878, 72.64, 1356, 46.65, 476174, 58.80, 474484, 56.16 
2022, Reiwa, 4, 460967, 55.13, 357357, 37.96, 321691, 43.06, 148585, 60.72, 184028, 47.63, 58676, 48.81, 1350, 52.72, 480763, 61.80, 479040, 59.45
2023, Reiwa, 5, 445358, 52.87, 346628, 55.65, 316728, 61.48, 144914, 63.39, 182224, 54.01, 57895, 48.46, 1659, 49.85, 463985, 53.81, 461993, 62.35
2024, Reiwa, 6, 433173, 58.25, 339152, 51.38, 312255, 57.74, 142525, 62.97, 180779, 54.77, 56596, 54.82, 1792, 56.62, 449328, 51.54, 447519, 67.24
2025, Reiwa, 7, 437209, 63.33, 308344, 53.51, 285563, 51.56, 144761, 58.96, 183154, 45.34, 57985, 52.21, 2365, 41.64, 453668, 57.69, 451864, 61.31